,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
12119,15624,3628,17,C1,2,1,45352,69-30 62 STREET,QUEENS,-2147483648,18,D,40.703303,-73.894682,Glendale
12120,15625,2011,7,D1,2,1,44000,537 CLINTON AVENUE,BROOKLYN,-2147483648,85,A,40.682202,-73.966319,Clinton Hill
12121,15626,2012,10,F5,4,1,26540,892 FULTON STREET,BROOKLYN,-2147483648,0,F,40.682752,-73.96543,Clinton Hill
12122,15627,2015,66,C6,2,1,30000,105 LEFFERTS PLACE,BROOKLYN,-2147483648,17,D,40.681312,-73.959434,Clinton Hill
12123,15628,5745,29,W1,0,1,122215,1171 65 STREET,BROOKLYN,-2147483648,61,C,40.627896,-74.003888,Borough Park
12124,15629,6604,49,D4,2,1,49800,303 AVENUE P,BROOKLYN,-2147483648,71,B,40.608577,-73.976594,Bensonhurst
12125,15630,3667,625,E1,4,1,70700,65-45 OTTO ROAD,QUEENS,-2147483648,58,C,40.705643,-73.889754,Glendale
12126,15632,6608,7501,R0,2,1,60600,1620 EAST 2 STREET,BROOKLYN,-2147483648,30,D,40.610152,-73.972281,Midwood
12127,15635,6612,52,D4,2,1,35160,1608 OCEAN PARKWAY,BROOKLYN,-2147483648,47,D,40.609583,-73.968216,Midwood
12128,15636,6613,1,D1,2,1,37800,1501 OCEAN PARKWAY,BROOKLYN,-2147483648,35,D,40.611766,-73.967597,Midwood
12129,15639,945,7501,R0,2,1,43244,98 STERLING PLACE,BROOKLYN,-2147483648,32,D,40.662555,-73.957859,Prospect-Lefferts Gardens
12130,15640,2045,53,D7,2,1,35176,62 CLERMONT AVENUE,BROOKLYN,-2147483648,82,B,40.695707,-73.971677,Fort Greene
